symbol,RS_Change_5D,RS_Change_10D,RS_Change_20D,RS_Change_60D,RS_Current,RS_Accel,RS_Accel_Rank
PLUS,20.338983050847446,5.423728813559322,91.52542372881356,90.84745762711864,92.54237288135593,62.71186440677966,1.0
MVC,-1.694915254237273,52.20338983050848,65.08474576271186,35.59322033898305,89.49152542372882,47.8135593220339,2.0
ENEX,4.406779661016941,0.6779661016949063,63.38983050847457,73.5593220338983,84.06779661016948,44.35593220338983,3.0
LODE,57.28813559322035,32.8813559322034,28.13559322033899,74.23728813559323,90.5084745762712,43.762711864406796,4.0
PHC,-1.0169491525423808,0.6779661016949206,61.694915254237294,57.96610169491525,96.61016949152543,39.237288135593225,5.0
WIN,12.54237288135593,11.52542372881355,62.03389830508475,37.96610169491525,95.9322033898305,38.44067796610169,6.0
WPI,29.491525423728817,26.779661016949156,54.576271186440685,17.966101694915267,79.3220338983051,35.96610169491527,7.0
DWC,29.152542372881356,-0.6779661016949206,67.11864406779661,20.33898305084746,74.57627118644068,34.67796610169491,8.0
VVT,53.55932203389831,50.847457627118644,21.01694915254238,31.864406779661017,87.45762711864407,34.440677966101696,9.0
OM,14.915254237288138,38.64406779661017,33.898305084745765,34.91525423728814,49.152542372881356,33.440677966101696,10.0
FAF,-0.3389830508474745,1.0169491525423666,61.69491525423728,22.711864406779654,90.16949152542372,30.57627118644067,11.0
STI,24.406779661016955,38.30508474576271,35.2542372881356,16.94915254237288,69.49152542372882,30.355932203389834,12.0
DD,30.847457627118644,37.28813559322034,32.20338983050847,17.627118644067792,47.11864406779661,29.694915254237287,13.0
MM,-41.35593220338983,38.30508474576271,37.96610169491525,30.847457627118644,43.728813559322035,28.33898305084746,14.0
VLL,-6.779661016949163,-3.7288135593220346,69.4915254237288,6.779661016949149,73.89830508474576,27.881355932203384,15.0
T,41.35593220338983,47.45762711864407,22.711864406779654,8.474576271186436,88.8135593220339,27.20338983050847,16.0
MBC,14.915254237288124,60.0,19.66101694915254,6.101694915254228,81.01694915254237,25.881355932203387,17.0
MARC,53.898305084745765,49.49152542372882,36.949152542372886,-31.18644067796609,62.03389830508475,24.745762711864415,18.0
HTI,11.864406779661024,9.830508474576277,21.694915254237294,47.79661016949153,84.40677966101696,24.271186440677972,19.0
ALHI,17.627118644067796,20.338983050847457,22.3728813559322,33.22033898305085,41.69491525423729,24.101694915254235,20.0
CPM,7.796610169491522,17.627118644067792,27.45762711864407,28.135593220338976,68.47457627118644,23.203389830508474,21.0
ECP,23.389830508474578,22.71186440677966,20.67796610169492,25.423728813559322,36.610169491525426,22.644067796610173,22.0
UNH,-8.13559322033899,-12.54237288135593,71.86440677966101,-8.81355932203391,79.66101694915254,22.593220338983045,23.0
SUN,20.677966101694913,42.71186440677966,40.33898305084746,-26.101694915254228,50.847457627118644,22.355932203389834,24.0
FPI,18.644067796610187,26.440677966101703,15.593220338983059,29.15254237288137,88.47457627118645,22.00000000000001,25.0
GMAP,11.186440677966104,10.169491525423723,27.796610169491515,27.796610169491515,86.77966101694915,21.728813559322028,26.0
DMW,22.03389830508474,5.762711864406775,18.98305084745762,41.01694915254237,64.40677966101694,21.49152542372881,27.0
FGEN,26.101694915254242,15.932203389830512,45.76271186440678,-14.237288135593218,67.45762711864407,21.33898305084746,28.0
IPM,18.305084745762713,18.983050847457626,15.932203389830509,33.220338983050844,38.983050847457626,21.25423728813559,29.0
MFIN,-0.3389830508474603,67.45762711864407,0.0,17.288135593220346,72.54237288135593,21.152542372881356,30.0
OV,3.0508474576271283,16.271186440677965,32.88135593220339,14.237288135593218,76.61016949152543,21.084745762711865,31.0
VREIT,23.05084745762712,21.69491525423729,27.79661016949153,6.4406779661016955,30.847457627118647,20.45762711864407,32.0
KPPI,-18.644067796610173,-14.915254237288138,27.457627118644062,60.0,66.77966101694915,20.389830508474574,33.0
NI,-1.6949152542373014,-5.423728813559336,-0.3389830508474745,85.08474576271186,93.22033898305084,19.61016949152541,34.0
SHNG,3.050847457627114,27.11864406779661,2.3728813559322006,44.40677966101695,63.389830508474574,19.135593220338983,35.0
AP,8.135593220338976,24.40677966101694,24.067796610169488,8.474576271186436,82.71186440677965,18.66101694915254,36.0
ROCK,23.05084745762712,27.118644067796616,27.118644067796616,-5.423728813559308,62.37288135593221,18.576271186440685,37.0
CAT,13.898305084745758,17.966101694915253,11.525423728813564,31.1864406779661,53.559322033898304,18.28813559322034,38.0
BSC,10.508474576271183,25.084745762711865,17.627118644067796,14.915254237288138,48.13559322033898,18.10169491525424,39.0
SEVN,-6.101694915254242,-20.67796610169492,34.91525423728814,37.96610169491525,43.389830508474574,17.677966101694913,40.0
PREIT,20.0,14.915254237288138,11.86440677966102,28.474576271186443,32.88135593220339,17.593220338983052,41.0
SCC,21.694915254237287,21.694915254237287,22.711864406779657,3.3898305084745743,25.08474576271186,17.525423728813557,42.0
PCOR,2.3728813559322077,3.7288135593220346,27.11864406779661,21.016949152542367,98.30508474576271,17.271186440677965,43.0
PXP,4.7457627118644155,0.6779661016949206,4.7457627118644155,55.93220338983051,95.59322033898306,16.525423728813564,44.0
