date,bucket_broad,bucket_granular,is_broad,rrg_type,RS_Ratio,RS_Momentum,Quadrant
2026-03-13,Large Cap_Financials,Large Cap_Financials_Diversified Banks,False,daily_52,73.0259236764536,103.23381959616563,Improving
2026-03-13,Large Cap_Holding Firms,Large Cap_Holding Firms_Industrial Conglomerates,False,daily_52,84.12373970134786,102.58312766867401,Improving
2026-03-13,Large Cap_Holding Firms,Large Cap_Holding Firms_Multi-Sector Holdings,False,daily_52,75.38445248204422,101.57564195756925,Improving
2026-03-13,Large Cap_Industrial,Large Cap_Industrial_Distillers & Vintners,False,daily_52,99.70539225090735,97.8298720362851,Lagging
2026-03-13,Large Cap_Industrial,Large Cap_Industrial_Electric Utilities,False,daily_52,123.05618635590665,99.2571570961585,Weakening
2026-03-13,Large Cap_Industrial,Large Cap_Industrial_Independent Power Producers & Energy Traders,False,daily_52,127.10663064024006,129.39839990377695,Leading
2026-03-13,Large Cap_Industrial,Large Cap_Industrial_Marine Transportation,False,daily_52,113.62116833205978,86.8773465722109,Weakening
2026-03-13,Large Cap_Industrial,Large Cap_Industrial_Packaged Foods & Meats,False,daily_52,86.7780308195725,110.5377928183258,Improving
2026-03-13,Large Cap_Mining & Oil,Large Cap_Mining & Oil_Coal & Consumable Fuels,False,daily_52,103.10501752603643,103.48649148355355,Leading
2026-03-13,Large Cap_Mining & Oil,Large Cap_Mining & Oil_Independent Power Producers & Energy Traders,False,daily_52,96.429204888304,118.94818520770968,Improving
2026-03-13,Large Cap_Property,Large Cap_Property_Diversified REITs,False,daily_52,88.52585879014049,92.32930024646338,Lagging
2026-03-13,Large Cap_Property,Large Cap_Property_Real Estate Development,False,daily_52,84.9957536437485,102.34056617292322,Improving
2026-03-13,Large Cap_Property,Large Cap_Property_Retail REITs,False,daily_52,87.63861695141918,105.17564927620201,Improving
2026-03-13,Large Cap_Services,Large Cap_Services_Alternative Carriers,False,daily_52,85.6236545787942,91.10522818015728,Lagging
2026-03-13,Large Cap_Services,Large Cap_Services_Food Retail,False,daily_52,119.05726339834632,124.67458020379357,Leading
2026-03-13,Large Cap_Services,Large Cap_Services_Integrated Telecommunication Services,False,daily_52,103.6939456420348,97.72239711145319,Weakening
2026-03-13,Large Cap_Services,Large Cap_Services_Restaurants,False,daily_52,88.39690804377122,85.35265039421621,Lagging
2026-03-13,Large Cap_Services,Large Cap_Services_Wireless Telecommunication Services,False,daily_52,106.56581778876695,102.83880283313438,Leading
2026-03-13,Micro Cap_Financials,Micro Cap_Financials_Diversified Banks,False,daily_52,105.10924941492402,106.9883908441459,Leading
2026-03-13,Micro Cap_Financials,Micro Cap_Financials_Investment Banking & Brokerage,False,daily_52,115.30756399994881,102.19529435134885,Leading
2026-03-13,Micro Cap_Financials,Micro Cap_Financials_Multi-Sector Holdings,False,daily_52,112.7461004881991,94.64149932425302,Weakening
2026-03-13,Micro Cap_Financials,Micro Cap_Financials_Property & Casualty Insurance,False,daily_52,95.96437211070761,108.7969989110091,Improving
2026-03-13,Micro Cap_Financials,Micro Cap_Financials_Specialized Finance,False,daily_52,93.96089425939914,99.32056369757986,Lagging
2026-03-13,Micro Cap_Industrial,Micro Cap_Industrial_Agricultural Products & Services,False,daily_52,119.26598415953964,99.76601326098731,Weakening
2026-03-13,Micro Cap_Industrial,Micro Cap_Industrial_Construction Machinery & Heavy Transportation Equipment,False,daily_52,75.12003517581579,83.4618259839427,Lagging
2026-03-13,Micro Cap_Industrial,Micro Cap_Industrial_Construction Materials,False,daily_52,103.92235622976419,103.60729161218514,Leading
